"location","origin_date","horizon","target_end_date","value","output_type_id","target","output_type"
"US National",2017-05-06,4,2017-06-03,0.497974008305056,0.01,"ili perc","quantile"
"US National",2017-05-06,4,2017-06-03,0.515435553335129,0.025,"ili perc","quantile"
"US National",2017-05-06,4,2017-06-03,0.570561946119495,0.05,"ili perc","quantile"
"US National",2017-05-06,4,2017-06-03,0.747167862863342,0.1,"ili perc","quantile"
"US National",2017-05-06,4,2017-06-03,0.881691703565411,0.15,"ili perc","quantile"
"US National",2017-05-06,4,2017-06-03,0.908260044872538,0.2,"ili perc","quantile"
"US National",2017-05-06,4,2017-06-03,1.02103603512055,0.25,"ili perc","quantile"
"US National",2017-05-06,4,2017-06-03,1.06852615653955,0.3,"ili perc","quantile"
"US National",2017-05-06,4,2017-06-03,1.11616553582822,0.35,"ili perc","quantile"
"US National",2017-05-06,4,2017-06-03,1.14888957383068,0.4,"ili perc","quantile"
"US National",2017-05-06,4,2017-06-03,1.22369864830383,0.45,"ili perc","quantile"
"US National",2017-05-06,4,2017-06-03,1.26704971732498,0.5,"ili perc","quantile"
"US National",2017-05-06,4,2017-06-03,1.32366485038493,0.55,"ili perc","quantile"
"US National",2017-05-06,4,2017-06-03,1.37814603245109,0.6,"ili perc","quantile"
"US National",2017-05-06,4,2017-06-03,1.46760909556292,0.65,"ili perc","quantile"
"US National",2017-05-06,4,2017-06-03,1.50934403433635,0.7,"ili perc","quantile"
"US National",2017-05-06,4,2017-06-03,1.6274097732038,0.75,"ili perc","quantile"
"US National",2017-05-06,4,2017-06-03,1.73649265671447,0.8,"ili perc","quantile"
"US National",2017-05-06,4,2017-06-03,1.84974188939255,0.85,"ili perc","quantile"
"US National",2017-05-06,4,2017-06-03,1.98990622614862,0.9,"ili perc","quantile"
"US National",2017-05-06,4,2017-06-03,2.19305131385055,0.95,"ili perc","quantile"
"US National",2017-05-06,4,2017-06-03,2.65536399274527,0.975,"ili perc","quantile"
"US National",2017-05-06,4,2017-06-03,2.92743546498402,0.99,"ili perc","quantile"
