"location","origin_date","horizon","target_end_date","value","output_type_id","target","output_type"
"US National",2017-01-07,4,2017-02-04,1.07001093586867,0.01,"ili perc","quantile"
"US National",2017-01-07,4,2017-02-04,1.40518173650699,0.025,"ili perc","quantile"
"US National",2017-01-07,4,2017-02-04,1.70729145305761,0.05,"ili perc","quantile"
"US National",2017-01-07,4,2017-02-04,2.03560727738969,0.1,"ili perc","quantile"
"US National",2017-01-07,4,2017-02-04,2.19946368514877,0.15,"ili perc","quantile"
"US National",2017-01-07,4,2017-02-04,2.32350622959368,0.2,"ili perc","quantile"
"US National",2017-01-07,4,2017-02-04,2.4911941196766,0.25,"ili perc","quantile"
"US National",2017-01-07,4,2017-02-04,2.64460294257474,0.3,"ili perc","quantile"
"US National",2017-01-07,4,2017-02-04,2.7025991700546,0.35,"ili perc","quantile"
"US National",2017-01-07,4,2017-02-04,2.85748337635972,0.4,"ili perc","quantile"
"US National",2017-01-07,4,2017-02-04,2.97682586024526,0.45,"ili perc","quantile"
"US National",2017-01-07,4,2017-02-04,3.0666029274383,0.5,"ili perc","quantile"
"US National",2017-01-07,4,2017-02-04,3.16171208998536,0.55,"ili perc","quantile"
"US National",2017-01-07,4,2017-02-04,3.26556020772781,0.6,"ili perc","quantile"
"US National",2017-01-07,4,2017-02-04,3.41352280977391,0.65,"ili perc","quantile"
"US National",2017-01-07,4,2017-02-04,3.50675449641823,0.7,"ili perc","quantile"
"US National",2017-01-07,4,2017-02-04,3.57811005457285,0.75,"ili perc","quantile"
"US National",2017-01-07,4,2017-02-04,3.73834727733666,0.8,"ili perc","quantile"
"US National",2017-01-07,4,2017-02-04,4.03320087131676,0.85,"ili perc","quantile"
"US National",2017-01-07,4,2017-02-04,4.15455091939851,0.9,"ili perc","quantile"
"US National",2017-01-07,4,2017-02-04,5.13289767371058,0.95,"ili perc","quantile"
"US National",2017-01-07,4,2017-02-04,5.39844935527194,0.975,"ili perc","quantile"
"US National",2017-01-07,4,2017-02-04,6.40117970968906,0.99,"ili perc","quantile"
