"location","origin_date","horizon","target_end_date","value","output_type_id","target","output_type"
"HHS Region 4",2015-12-19,4,2016-01-16,0.695680563179907,0.01,"ili perc","quantile"
"HHS Region 4",2015-12-19,4,2016-01-16,0.795265977494383,0.025,"ili perc","quantile"
"HHS Region 4",2015-12-19,4,2016-01-16,0.866420210419954,0.05,"ili perc","quantile"
"HHS Region 4",2015-12-19,4,2016-01-16,0.966347458797757,0.1,"ili perc","quantile"
"HHS Region 4",2015-12-19,4,2016-01-16,1.1294158296256,0.15,"ili perc","quantile"
"HHS Region 4",2015-12-19,4,2016-01-16,1.25883794842363,0.2,"ili perc","quantile"
"HHS Region 4",2015-12-19,4,2016-01-16,1.33977700659105,0.25,"ili perc","quantile"
"HHS Region 4",2015-12-19,4,2016-01-16,1.42540131605253,0.3,"ili perc","quantile"
"HHS Region 4",2015-12-19,4,2016-01-16,1.4797010975256,0.35,"ili perc","quantile"
"HHS Region 4",2015-12-19,4,2016-01-16,1.5564563890247,0.4,"ili perc","quantile"
"HHS Region 4",2015-12-19,4,2016-01-16,1.64069974377908,0.45,"ili perc","quantile"
"HHS Region 4",2015-12-19,4,2016-01-16,1.6679864970326,0.5,"ili perc","quantile"
"HHS Region 4",2015-12-19,4,2016-01-16,1.74572696634653,0.55,"ili perc","quantile"
"HHS Region 4",2015-12-19,4,2016-01-16,1.78350699951461,0.6,"ili perc","quantile"
"HHS Region 4",2015-12-19,4,2016-01-16,1.89885689522381,0.65,"ili perc","quantile"
"HHS Region 4",2015-12-19,4,2016-01-16,1.98498178281357,0.7,"ili perc","quantile"
"HHS Region 4",2015-12-19,4,2016-01-16,2.09700516085465,0.75,"ili perc","quantile"
"HHS Region 4",2015-12-19,4,2016-01-16,2.25503164794066,0.8,"ili perc","quantile"
"HHS Region 4",2015-12-19,4,2016-01-16,2.43302320078378,0.85,"ili perc","quantile"
"HHS Region 4",2015-12-19,4,2016-01-16,2.65337359480474,0.9,"ili perc","quantile"
"HHS Region 4",2015-12-19,4,2016-01-16,3.21494583861173,0.95,"ili perc","quantile"
"HHS Region 4",2015-12-19,4,2016-01-16,3.58320403108198,0.975,"ili perc","quantile"
"HHS Region 4",2015-12-19,4,2016-01-16,4.0741195479716,0.99,"ili perc","quantile"
