"location","origin_date","horizon","target_end_date","value","output_type_id","target","output_type"
"HHS Region 3",2016-12-10,4,2017-01-07,0.625503459305998,0.01,"ili perc","quantile"
"HHS Region 3",2016-12-10,4,2017-01-07,0.772857574974647,0.025,"ili perc","quantile"
"HHS Region 3",2016-12-10,4,2017-01-07,1.03536119919712,0.05,"ili perc","quantile"
"HHS Region 3",2016-12-10,4,2017-01-07,1.31638857293682,0.1,"ili perc","quantile"
"HHS Region 3",2016-12-10,4,2017-01-07,1.4103430887597,0.15,"ili perc","quantile"
"HHS Region 3",2016-12-10,4,2017-01-07,1.54901825278231,0.2,"ili perc","quantile"
"HHS Region 3",2016-12-10,4,2017-01-07,1.61572929103831,0.25,"ili perc","quantile"
"HHS Region 3",2016-12-10,4,2017-01-07,1.67018712157229,0.3,"ili perc","quantile"
"HHS Region 3",2016-12-10,4,2017-01-07,1.79090837715157,0.35,"ili perc","quantile"
"HHS Region 3",2016-12-10,4,2017-01-07,1.8290037283896,0.4,"ili perc","quantile"
"HHS Region 3",2016-12-10,4,2017-01-07,1.91623999893677,0.45,"ili perc","quantile"
"HHS Region 3",2016-12-10,4,2017-01-07,1.95711485283009,0.5,"ili perc","quantile"
"HHS Region 3",2016-12-10,4,2017-01-07,1.99176355592259,0.55,"ili perc","quantile"
"HHS Region 3",2016-12-10,4,2017-01-07,2.07449353624439,0.6,"ili perc","quantile"
"HHS Region 3",2016-12-10,4,2017-01-07,2.1225603015985,0.65,"ili perc","quantile"
"HHS Region 3",2016-12-10,4,2017-01-07,2.21886310151253,0.7,"ili perc","quantile"
"HHS Region 3",2016-12-10,4,2017-01-07,2.49745128438995,0.75,"ili perc","quantile"
"HHS Region 3",2016-12-10,4,2017-01-07,2.58722864947698,0.8,"ili perc","quantile"
"HHS Region 3",2016-12-10,4,2017-01-07,2.79743066738307,0.85,"ili perc","quantile"
"HHS Region 3",2016-12-10,4,2017-01-07,2.9269353675276,0.9,"ili perc","quantile"
"HHS Region 3",2016-12-10,4,2017-01-07,3.24282874845877,0.95,"ili perc","quantile"
"HHS Region 3",2016-12-10,4,2017-01-07,3.71700542549519,0.975,"ili perc","quantile"
"HHS Region 3",2016-12-10,4,2017-01-07,3.87298108462143,0.99,"ili perc","quantile"
