"location","origin_date","horizon","target_end_date","value","output_type_id","target","output_type"
"HHS Region 3",2016-04-16,4,2016-05-14,0.666553763156149,0.01,"ili perc","quantile"
"HHS Region 3",2016-04-16,4,2016-05-14,0.761624644122548,0.025,"ili perc","quantile"
"HHS Region 3",2016-04-16,4,2016-05-14,0.860211416985244,0.05,"ili perc","quantile"
"HHS Region 3",2016-04-16,4,2016-05-14,1.02301374037121,0.1,"ili perc","quantile"
"HHS Region 3",2016-04-16,4,2016-05-14,1.17332258990552,0.15,"ili perc","quantile"
"HHS Region 3",2016-04-16,4,2016-05-14,1.24241191136114,0.2,"ili perc","quantile"
"HHS Region 3",2016-04-16,4,2016-05-14,1.36082934299302,0.25,"ili perc","quantile"
"HHS Region 3",2016-04-16,4,2016-05-14,1.45667555053214,0.3,"ili perc","quantile"
"HHS Region 3",2016-04-16,4,2016-05-14,1.52143959474197,0.35,"ili perc","quantile"
"HHS Region 3",2016-04-16,4,2016-05-14,1.62956712000118,0.4,"ili perc","quantile"
"HHS Region 3",2016-04-16,4,2016-05-14,1.67808482461379,0.45,"ili perc","quantile"
"HHS Region 3",2016-04-16,4,2016-05-14,1.72505281699047,0.5,"ili perc","quantile"
"HHS Region 3",2016-04-16,4,2016-05-14,1.79057739258583,0.55,"ili perc","quantile"
"HHS Region 3",2016-04-16,4,2016-05-14,1.85955764581876,0.6,"ili perc","quantile"
"HHS Region 3",2016-04-16,4,2016-05-14,1.94341201020528,0.65,"ili perc","quantile"
"HHS Region 3",2016-04-16,4,2016-05-14,1.99349825454958,0.7,"ili perc","quantile"
"HHS Region 3",2016-04-16,4,2016-05-14,2.04399590119419,0.75,"ili perc","quantile"
"HHS Region 3",2016-04-16,4,2016-05-14,2.43790738152897,0.8,"ili perc","quantile"
"HHS Region 3",2016-04-16,4,2016-05-14,2.60093674645996,0.85,"ili perc","quantile"
"HHS Region 3",2016-04-16,4,2016-05-14,2.62827761553778,0.9,"ili perc","quantile"
"HHS Region 3",2016-04-16,4,2016-05-14,3.09124832082705,0.95,"ili perc","quantile"
"HHS Region 3",2016-04-16,4,2016-05-14,3.19552069111769,0.975,"ili perc","quantile"
"HHS Region 3",2016-04-16,4,2016-05-14,3.59540084819932,0.99,"ili perc","quantile"
