"location","origin_date","horizon","target_end_date","value","output_type_id","target","output_type"
"HHS Region 3",2017-01-07,4,2017-02-04,1.21607704763272,0.01,"ili perc","quantile"
"HHS Region 3",2017-01-07,4,2017-02-04,1.51246276014057,0.025,"ili perc","quantile"
"HHS Region 3",2017-01-07,4,2017-02-04,1.87073580042849,0.05,"ili perc","quantile"
"HHS Region 3",2017-01-07,4,2017-02-04,2.05544708719752,0.1,"ili perc","quantile"
"HHS Region 3",2017-01-07,4,2017-02-04,2.29554409539568,0.15,"ili perc","quantile"
"HHS Region 3",2017-01-07,4,2017-02-04,2.39722585489766,0.2,"ili perc","quantile"
"HHS Region 3",2017-01-07,4,2017-02-04,2.51904108444764,0.25,"ili perc","quantile"
"HHS Region 3",2017-01-07,4,2017-02-04,2.62418083196392,0.3,"ili perc","quantile"
"HHS Region 3",2017-01-07,4,2017-02-04,2.79324338406353,0.35,"ili perc","quantile"
"HHS Region 3",2017-01-07,4,2017-02-04,2.89153716960669,0.4,"ili perc","quantile"
"HHS Region 3",2017-01-07,4,2017-02-04,2.9266401746476,0.45,"ili perc","quantile"
"HHS Region 3",2017-01-07,4,2017-02-04,3.04063045200196,0.5,"ili perc","quantile"
"HHS Region 3",2017-01-07,4,2017-02-04,3.21512948784877,0.55,"ili perc","quantile"
"HHS Region 3",2017-01-07,4,2017-02-04,3.31604048174555,0.6,"ili perc","quantile"
"HHS Region 3",2017-01-07,4,2017-02-04,3.40069761866477,0.65,"ili perc","quantile"
"HHS Region 3",2017-01-07,4,2017-02-04,3.54177335187104,0.7,"ili perc","quantile"
"HHS Region 3",2017-01-07,4,2017-02-04,3.66613410939907,0.75,"ili perc","quantile"
"HHS Region 3",2017-01-07,4,2017-02-04,3.78950204611851,0.8,"ili perc","quantile"
"HHS Region 3",2017-01-07,4,2017-02-04,4.08624723710709,0.85,"ili perc","quantile"
"HHS Region 3",2017-01-07,4,2017-02-04,4.65142803404877,0.9,"ili perc","quantile"
"HHS Region 3",2017-01-07,4,2017-02-04,5.7385564287524,0.95,"ili perc","quantile"
"HHS Region 3",2017-01-07,4,2017-02-04,6.30521787075176,0.975,"ili perc","quantile"
"HHS Region 3",2017-01-07,4,2017-02-04,7.29242752547447,0.99,"ili perc","quantile"
