"location","origin_date","horizon","target_end_date","value","output_type_id","target","output_type"
"US National",2016-03-12,4,2016-04-09,1.19860145954882,0.01,"ili perc","quantile"
"US National",2016-03-12,4,2016-04-09,1.27071143084112,0.025,"ili perc","quantile"
"US National",2016-03-12,4,2016-04-09,1.45474591175041,0.05,"ili perc","quantile"
"US National",2016-03-12,4,2016-04-09,1.60975920914196,0.1,"ili perc","quantile"
"US National",2016-03-12,4,2016-04-09,1.80176645026474,0.15,"ili perc","quantile"
"US National",2016-03-12,4,2016-04-09,1.94864193425205,0.2,"ili perc","quantile"
"US National",2016-03-12,4,2016-04-09,2.02039445898273,0.25,"ili perc","quantile"
"US National",2016-03-12,4,2016-04-09,2.05607502497769,0.3,"ili perc","quantile"
"US National",2016-03-12,4,2016-04-09,2.08627531141586,0.35,"ili perc","quantile"
"US National",2016-03-12,4,2016-04-09,2.18878511897679,0.4,"ili perc","quantile"
"US National",2016-03-12,4,2016-04-09,2.21996421594933,0.45,"ili perc","quantile"
"US National",2016-03-12,4,2016-04-09,2.25344913011743,0.5,"ili perc","quantile"
"US National",2016-03-12,4,2016-04-09,2.2959743490233,0.55,"ili perc","quantile"
"US National",2016-03-12,4,2016-04-09,2.35772823013186,0.6,"ili perc","quantile"
"US National",2016-03-12,4,2016-04-09,2.42412204216686,0.65,"ili perc","quantile"
"US National",2016-03-12,4,2016-04-09,2.52435103776763,0.7,"ili perc","quantile"
"US National",2016-03-12,4,2016-04-09,2.63050783804075,0.75,"ili perc","quantile"
"US National",2016-03-12,4,2016-04-09,2.72192914477518,0.8,"ili perc","quantile"
"US National",2016-03-12,4,2016-04-09,2.8470389131634,0.85,"ili perc","quantile"
"US National",2016-03-12,4,2016-04-09,2.92619711361679,0.9,"ili perc","quantile"
"US National",2016-03-12,4,2016-04-09,3.30439850478766,0.95,"ili perc","quantile"
"US National",2016-03-12,4,2016-04-09,3.42296269975367,0.975,"ili perc","quantile"
"US National",2016-03-12,4,2016-04-09,3.55292260125725,0.99,"ili perc","quantile"
